id,code,name,state_id,country_id
"paraguay_mun_id_01",1,"ASUNCION (DISTRITO)","CAPITAL","PY"
"paraguay_mun_id_02",2,"CONCEPCION (MUNICIPIO)","CONCEPCION","PY"
"paraguay_mun_id_03",3,"SAN LAZARO","CONCEPCION","PY"
"paraguay_mun_id_04",4,"SAN CARLOS","CONCEPCION","PY"
"paraguay_mun_id_05",5,"BELEN","CONCEPCION","PY"
"paraguay_mun_id_06",6,"LORETO","CONCEPCION","PY"
"paraguay_mun_id_07",7,"HORQUETA","CONCEPCION","PY"
"paraguay_mun_id_08",8,"SAN SALVADOR","CONCEPCION","PY"
"paraguay_mun_id_09",9,"YBY YA'U","CONCEPCION","PY"
"paraguay_mun_id_10",267,"SAN CARLOS DEL APA","CONCEPCION","PY"
"paraguay_mun_id_11",270,"SARGENTO JOSE FELIX LOPEZ","CONCEPCION","PY"
"paraguay_mun_id_12",280,"PASO BARRETO (MUNICIPIO)","CONCEPCION","PY"
"paraguay_mun_id_13",281,"SAN ALFREDO (MUNICIPIO)","CONCEPCION","PY"
"paraguay_mun_id_14",282,"AZOTE¿Y (MUNICIPIO)","CONCEPCION","PY"
"paraguay_mun_id_15",286,"ARROYITO","CONCEPCION","PY"
"paraguay_mun_id_16",10,"SAN PEDRO DE YCUAMANDYYU","SAN PEDRO","PY"
"paraguay_mun_id_17",11,"ANTEQUERA","SAN PEDRO","PY"
"paraguay_mun_id_18",12,"GRAL. E.AQUINO","SAN PEDRO","PY"
"paraguay_mun_id_19",13,"ITACURUBI DEL ROSARIO","SAN PEDRO","PY"
"paraguay_mun_id_20",14,"SAN ESTANISLAO (SANTANI)","SAN PEDRO","PY"
"paraguay_mun_id_21",15,"LIMA","SAN PEDRO","PY"
"paraguay_mun_id_22",16,"NUEVA GERMANIA","SAN PEDRO","PY"
"paraguay_mun_id_23",17,"TACUATI","SAN PEDRO","PY"
"paraguay_mun_id_24",18,"UNION","SAN PEDRO","PY"
"paraguay_mun_id_25",19,"25 DE DICIEMBRE","SAN PEDRO","PY"
"paraguay_mun_id_26",20,"VILLA DEL ROSARIO","SAN PEDRO","PY"
"paraguay_mun_id_27",21,"YATAITY DEL NORTE","SAN PEDRO","PY"
"paraguay_mun_id_28",22,"ISIDORO RESQUIN","SAN PEDRO","PY"
"paraguay_mun_id_29",23,"CHORE","SAN PEDRO","PY"
"paraguay_mun_id_30",24,"SAN PABLO","SAN PEDRO","PY"
"paraguay_mun_id_31",25,"SAN JOSE DEL ROSARIO","SAN PEDRO","PY"
"paraguay_mun_id_32",220,"GUAYAIBI","SAN PEDRO","PY"
"paraguay_mun_id_33",226,"CAPIIBARY","SAN PEDRO","PY"
"paraguay_mun_id_34",245,"YRYBUCUA","SAN PEDRO","PY"
"paraguay_mun_id_35",263,"SANTA ROSA DEL AGUARAY","SAN PEDRO","PY"
"paraguay_mun_id_36",268,"LIBERACIÓN","SAN PEDRO","PY"
"paraguay_mun_id_37",285,"SAN VICENTE PANCHOLO","SAN PEDRO","PY"
"paraguay_mun_id_38",26,"CAACUPE","CORDILLERA","PY"
"paraguay_mun_id_39",27,"ALTOS","CORDILLERA","PY"
"paraguay_mun_id_40",28,"ARROYOS Y ESTEROS","CORDILLERA","PY"
"paraguay_mun_id_41",29,"ATYRA","CORDILLERA","PY"
"paraguay_mun_id_42",30,"CARAGUATAY","CORDILLERA","PY"
"paraguay_mun_id_43",31,"EMBOSCADA","CORDILLERA","PY"
