id,code,name,comments
l10n_xma_uom_1,87,"m","Metros"
l10n_xma_uom_2,2366,"CPM","Costo Por Mil"
l10n_xma_uom_3,2329,"UI","Unidad Internacional"
l10n_xma_uom_4,110,"M3","Metros cubicos"
l10n_xma_uom_5,77,"UNI","Unidad"
l10n_xma_uom_6,86,"g","Gramos"
l10n_xma_uom_7,89,"LT","Litros"
l10n_xma_uom_8,90,"MG","Miligramos"
l10n_xma_uom_9,91,"CM","Centimetros"
l10n_xma_uom_10,92,"CM2","Centímetros cuadrados"
l10n_xma_uom_11,93,"CM3","Centímetros cúbicos"
l10n_xma_uom_12,94,"PUL","Pulgadas"
l10n_xma_uom_13,96,"MM2","Milímetros cuadrados"
l10n_xma_uom_14,79,"kg/m2","Kilogramos s/ metro cuadrado"
l10n_xma_uom_15,97,"AA","Año"
l10n_xma_uom_16,98,"ME","Mes"
l10n_xma_uom_17,99,"TN","Tonelada"
l10n_xma_uom_18,100,"Hs","Hora"
l10n_xma_uom_19,101,"Mi","Minuto"
l10n_xma_uom_20,104,"DET","Determinación"
l10n_xma_uom_21,103,"Ya","Yardas"
l10n_xma_uom_22,108,"MT","Metros"
l10n_xma_uom_23,109,"M2","Metros cuadrados"
l10n_xma_uom_24,95,"MM","Milímetros"
l10n_xma_uom_25,666,"Se","Segundo"
l10n_xma_uom_26,102,"Di","Día"
l10n_xma_uom_27,83,"Kg","Kilogramos"
l10n_xma_uom_28,88,"ML","Mililitros"
l10n_xma_uom_29,625,"Km","Kilómetros"
l10n_xma_uom_30,660,"ml","Metro lineal"
l10n_xma_uom_31,885,"GL","Unidad de Medida Global"
l10n_xma_uom_32,891,"pm","Por Milaje"
l10n_xma_uom_33,869,"ha","Hectáreas"
l10n_xma_uom_34,569,"reacion","Ración"
