id,code,name,country_id
"dpto_py1",1,"CAPITAL","PY"
"dpto_py2",2,"CONCEPCION","PY"
"dpto_py3",3,"SAN PEDRO","PY"
"dpto_py4",4,"CORDILLERA","PY"
"dpto_py5",5,"GUAIRA","PY"
"dpto_py6",6,"CAAGUAZU","PY"
"dpto_py7",7,"CAAZAPA","PY"
"dpto_py8",8,"ITAPUA","PY"
"dpto_py9",9,"MISIONES","PY"
"dpto_py10",10,"PARAGUARI","PY"
"dpto_py11",11,"ALTO PARANA","PY"
"dpto_py12",12,"CENTRAL","PY"
"dpto_py13",13,"NEEMBUCU","PY"
"dpto_py14",14,"AMAMBAY","PY"
"dpto_py15",15,"PTE. HAYES","PY"
"dpto_py16",16,"BOQUERON","PY"
"dpto_py17",17,"ALTO PARAGUAY","PY"
"dpto_py18",18,"CANINDEYU","PY"
